object_id,decision_mjd,is_target,amplitude,significance,missing_fraction
demo-01,60001,0,0.10,1.1,0.20
demo-02,60002,1,1.10,5.2,0.05
demo-03,60003,0,0.20,1.4,0.18
demo-04,60004,1,1.30,5.8,0.04
demo-05,60005,0,0.15,1.2,0.22
demo-06,60006,1,0.95,4.9,0.08
demo-07,60007,0,0.30,1.8,0.16
demo-08,60008,1,1.50,6.1,0.03
demo-09,60009,0,0.25,1.6,0.19
demo-10,60010,1,1.20,5.5,0.06
demo-11,60011,0,0.35,2.0,0.14
demo-12,60012,1,1.40,5.9,0.05
demo-13,60013,0,0.28,1.7,0.17
demo-14,60014,1,1.05,5.0,0.07
demo-15,60015,0,0.18,1.3,0.21
demo-16,60016,1,1.35,5.7,0.04
demo-17,60017,0,0.32,1.9,0.15
demo-18,60018,1,1.25,5.4,0.06
demo-19,60019,0,0.22,1.5,0.18
demo-20,60020,1,1.45,6.0,0.03
