source_id,survey,band,mjd,flux,flux_error
SYNTHETIC-PULSE,synthetic,g,61000,9.90411091,1.0
SYNTHETIC-PULSE,synthetic,g,61001,10.23616001,1.0
SYNTHETIC-PULSE,synthetic,g,61002,10.47535129,1.0
SYNTHETIC-PULSE,synthetic,g,61003,8.94335226,1.0
SYNTHETIC-PULSE,synthetic,g,61004,9.80030102,1.0
SYNTHETIC-PULSE,synthetic,g,61005,9.7589409,1.0
SYNTHETIC-PULSE,synthetic,g,61006,9.4501258,1.0
SYNTHETIC-PULSE,synthetic,g,61007,10.24277709,1.0
SYNTHETIC-PULSE,synthetic,g,61008,10.01181774,1.0
SYNTHETIC-PULSE,synthetic,g,61009,10.85522587,1.0
SYNTHETIC-PULSE,synthetic,g,61010,11.80088626,1.0
SYNTHETIC-PULSE,synthetic,g,61011,11.17415837,1.0
SYNTHETIC-PULSE,synthetic,g,61012,11.2921106,1.0
SYNTHETIC-PULSE,synthetic,g,61013,13.26884516,1.0
SYNTHETIC-PULSE,synthetic,g,61014,13.69107918,1.0
SYNTHETIC-PULSE,synthetic,g,61015,14.36934542,1.0
SYNTHETIC-PULSE,synthetic,g,61016,15.78285874,1.0
SYNTHETIC-PULSE,synthetic,g,61017,14.89061982,1.0
SYNTHETIC-PULSE,synthetic,g,61018,13.98596413,1.0
SYNTHETIC-PULSE,synthetic,g,61019,11.76175046,1.0
SYNTHETIC-PULSE,synthetic,g,61020,14.17664605,1.0
SYNTHETIC-PULSE,synthetic,g,61021,11.32830794,1.0
SYNTHETIC-PULSE,synthetic,g,61022,9.88852486,1.0
SYNTHETIC-PULSE,synthetic,g,61023,9.87024788,1.0
SYNTHETIC-PULSE,synthetic,g,61024,9.62599123,1.0
SYNTHETIC-PULSE,synthetic,g,61025,10.70983607,1.0
SYNTHETIC-PULSE,synthetic,g,61026,9.74151369,1.0
SYNTHETIC-PULSE,synthetic,g,61027,9.43929387,1.0
SYNTHETIC-PULSE,synthetic,g,61028,8.37900016,1.0
SYNTHETIC-PULSE,synthetic,g,61029,8.70559394,1.0
SYNTHETIC-PULSE,synthetic,g,61030,10.1759259,1.0
SYNTHETIC-PULSE,synthetic,g,61031,9.6135631,1.0
SYNTHETIC-CONSTANT,synthetic,g,61000,12.37173925,1.0
SYNTHETIC-CONSTANT,synthetic,g,61001,10.05107888,1.0
SYNTHETIC-CONSTANT,synthetic,g,61002,9.83247419,1.0
SYNTHETIC-CONSTANT,synthetic,g,61003,11.21038451,1.0
SYNTHETIC-CONSTANT,synthetic,g,61004,11.48088912,1.0
SYNTHETIC-CONSTANT,synthetic,g,61005,10.87294436,1.0
SYNTHETIC-CONSTANT,synthetic,g,61006,9.86852699,1.0
SYNTHETIC-CONSTANT,synthetic,g,61007,6.92538666,1.0
SYNTHETIC-CONSTANT,synthetic,g,61008,11.12342769,1.0
SYNTHETIC-CONSTANT,synthetic,g,61009,10.98903085,1.0
SYNTHETIC-CONSTANT,synthetic,g,61010,9.17972351,1.0
SYNTHETIC-CONSTANT,synthetic,g,61011,9.77827839,1.0
SYNTHETIC-CONSTANT,synthetic,g,61012,10.3803602,1.0
SYNTHETIC-CONSTANT,synthetic,g,61013,10.15992816,1.0
SYNTHETIC-CONSTANT,synthetic,g,61014,10.96448934,1.0
SYNTHETIC-CONSTANT,synthetic,g,61015,7.87105664,1.0
SYNTHETIC-CONSTANT,synthetic,g,61016,9.7102213,1.0
SYNTHETIC-CONSTANT,synthetic,g,61017,10.84306753,1.0
SYNTHETIC-CONSTANT,synthetic,g,61018,10.22653868,1.0
SYNTHETIC-CONSTANT,synthetic,g,61019,8.94632886,1.0
SYNTHETIC-CONSTANT,synthetic,g,61020,9.73851747,1.0
SYNTHETIC-CONSTANT,synthetic,g,61021,9.59708805,1.0
SYNTHETIC-CONSTANT,synthetic,g,61022,10.07694533,1.0
SYNTHETIC-CONSTANT,synthetic,g,61023,9.63688946,1.0
SYNTHETIC-CONSTANT,synthetic,g,61024,8.69374056,1.0
SYNTHETIC-CONSTANT,synthetic,g,61025,9.14107086,1.0
SYNTHETIC-CONSTANT,synthetic,g,61026,9.92909847,1.0
SYNTHETIC-CONSTANT,synthetic,g,61027,11.5364002,1.0
SYNTHETIC-CONSTANT,synthetic,g,61028,11.54335098,1.0
SYNTHETIC-CONSTANT,synthetic,g,61029,10.51053653,1.0
SYNTHETIC-CONSTANT,synthetic,g,61030,9.30497785,1.0
SYNTHETIC-CONSTANT,synthetic,g,61031,9.85446954,1.0
