source_id,ra_deg,dec_deg,mjd,band,magnitude,magnitude_error,is_detection,limiting_magnitude,flux,flux_error,survey,observation_id,quality
INTEGRATED-CONSTANT,42.200000000000003,-12.5,61000,g,,,True,,10,1,synthetic,constant-001,True
INTEGRATED-CONSTANT,42.200000000000003,-12.5,61001,g,,,True,,10.1,1,synthetic,constant-002,True
INTEGRATED-CONSTANT,42.200000000000003,-12.5,61002,g,,,True,,9.9000000000000004,1,synthetic,constant-003,True
INTEGRATED-CONSTANT,42.200000000000003,-12.5,61003,g,,,True,,10,1,synthetic,constant-004,True
INTEGRATED-CONSTANT,42.200000000000003,-12.5,61004,g,,,True,,10.1,1,synthetic,constant-005,True
INTEGRATED-CONSTANT,42.200000000000003,-12.5,61005,g,,,True,,9.9000000000000004,1,synthetic,constant-006,True
INTEGRATED-PULSE,150.09999999999999,2.2999999999999998,61000,g,,,True,,10,1,synthetic,pulse-001,True
INTEGRATED-PULSE,150.09999999999999,2.2999999999999998,61001,g,,,True,,10.199999999999999,1,synthetic,pulse-002,True
INTEGRATED-PULSE,150.09999999999999,2.2999999999999998,61002,g,,,True,,11.1,1,synthetic,pulse-003,True
INTEGRATED-PULSE,150.09999999999999,2.2999999999999998,61003,g,,,True,,18,1,synthetic,pulse-004,True
INTEGRATED-PULSE,150.09999999999999,2.2999999999999998,61004,g,,,True,,11,1,synthetic,pulse-005,True
INTEGRATED-PULSE,150.09999999999999,2.2999999999999998,61005,g,,,True,,10.1,1,synthetic,pulse-006,True
