source_id,survey,band,mjd,flux,flux_error,observation_id
scale-000000,qualification-synthetic,g,62000.0,20.198429255358377,0.8857768491960838,000000-0000
scale-000000,qualification-synthetic,g,62001.0,20.643521188442833,0.941318845110215,000000-0001
scale-000000,qualification-synthetic,g,62002.0,20.222738710995394,0.9191994206519264,000000-0002
scale-000000,qualification-synthetic,g,62003.0,19.460112517566415,1.0182962155737896,000000-0003
scale-000000,qualification-synthetic,g,62004.0,19.611663649466774,0.8803049711403655,000000-0004
scale-000000,qualification-synthetic,g,62005.0,20.860529022768116,1.0377110251865604,000000-0005
scale-000000,qualification-synthetic,g,62006.0,22.398912997823793,1.1721274572016784,000000-0006
scale-000000,qualification-synthetic,g,62007.0,20.09845179525436,0.9102974108157971,000000-0007
scale-000000,qualification-synthetic,g,62008.0,21.554457890989923,1.014597660479563,000000-0008
scale-000000,qualification-synthetic,g,62009.0,19.269925932004533,0.9280434097901111,000000-0009
scale-000000,qualification-synthetic,g,62010.0,20.083799985636325,1.0754225490565081,000000-0010
scale-000000,qualification-synthetic,g,62011.0,19.27984001973757,0.8183563578339411,000000-0011
scale-000000,qualification-synthetic,g,62012.0,19.495841763503627,1.0193364504714442,000000-0012
scale-000000,qualification-synthetic,g,62013.0,19.843050420352046,1.0857465783001319,000000-0013
scale-000000,qualification-synthetic,g,62014.0,21.243218225527176,1.0419062320541912,000000-0014
scale-000000,qualification-synthetic,g,62015.0,22.783577651425237,1.0660376072256572,000000-0015
scale-000000,qualification-synthetic,g,62016.0,24.759359020904675,0.9768772090040438,000000-0016
scale-000000,qualification-synthetic,g,62017.0,27.51134082854046,0.9653164741904446,000000-0017
scale-000000,qualification-synthetic,g,62018.0,26.73690046963562,0.9568405959889257,000000-0018
scale-000000,qualification-synthetic,g,62019.0,25.656785466026182,1.0164495848584747,000000-0019
scale-000000,qualification-synthetic,g,62020.0,25.63910106412588,1.1438871776765565,000000-0020
scale-000000,qualification-synthetic,g,62021.0,22.380084558534087,0.9668934870432295,000000-0021
scale-000000,qualification-synthetic,g,62022.0,20.163646277225855,0.9054871806967629,000000-0022
scale-000000,qualification-synthetic,g,62023.0,19.635309013369238,0.8937456525896829,000000-0023
scale-000000,qualification-synthetic,g,62024.0,19.734735945416222,0.9697689631776532,000000-0024
scale-000000,qualification-synthetic,g,62025.0,22.107784267430734,0.9295500437840157,000000-0025
scale-000000,qualification-synthetic,g,62026.0,19.292728728886328,1.1026258466028631,000000-0026
scale-000000,qualification-synthetic,g,62027.0,19.442368542907047,1.1832167336677109,000000-0027
scale-000000,qualification-synthetic,g,62028.0,19.821860755811297,0.8173566329347123,000000-0028
scale-000000,qualification-synthetic,g,62029.0,20.690573214431492,1.062735031421628,000000-0029
scale-000000,qualification-synthetic,g,62030.0,21.415364428189356,0.872834273155337,000000-0030
scale-000000,qualification-synthetic,g,62031.0,19.98819315705923,1.0356559215674135,000000-0031
scale-000001,qualification-synthetic,g,62000.0,16.667653917510503,1.1451423425905405,000001-0000
scale-000001,qualification-synthetic,g,62001.0,20.679312748703094,1.0821208641998845,000001-0001
scale-000001,qualification-synthetic,g,62002.0,19.64924907622437,0.9528066358664267,000001-0002
scale-000001,qualification-synthetic,g,62003.0,18.169793867969528,1.0559226867427662,000001-0003
scale-000001,qualification-synthetic,g,62004.0,19.479127120549965,1.1781219600670745,000001-0004
scale-000001,qualification-synthetic,g,62005.0,19.44026464800093,0.810972948407621,000001-0005
scale-000001,qualification-synthetic,g,62006.0,19.415493034741683,1.157453893917814,000001-0006
